空港名,予報時刻,変化の種類,風情報,視程,天気,雲の状態,原文セグメント
天津,2026-08-23 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 01:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 02:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 03:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 04:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 05:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 06:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 07:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 08:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 09:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 10:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 11:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 12:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 13:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 14:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 15:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 16:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 17:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 18:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 19:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 20:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 01:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 02:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 03:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 01:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 02:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 03:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 04:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 05:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 06:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 07:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 08:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 09:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 10:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 11:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 12:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 13:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 14:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 15:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 16:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 17:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 18:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 19:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 20:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 01:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 02:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 03:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-23 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 01:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 02:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 03:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 04:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 05:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 06:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 07:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 08:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 09:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 10:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 11:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 12:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 13:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 14:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 15:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 16:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 17:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 18:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 19:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 20:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 21:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 22:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-24 23:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
天津,2026-08-25 00:00,FROM,15003KT,5000,HZ,,2312/2418 15003MPS 5000 HZ NSC TX28/2312Z TX33/2406Z TN26/2321Z
